frame,timestamp_sec,player_id,shot_type,distance
49,1.63,2,FOREHAND,80.96
79,2.63,2,VOLLEY,19.21
107,3.57,4,VOLLEY,6.4
108,3.6,23,VOLLEY,10.44
134,4.47,1,BACKHAND,42.2
168,5.6,2,BACKHAND,35.81
169,5.63,3,FOREHAND,88.77
181,6.03,4,FOREHAND,38.28
182,6.07,1,BACKHAND,31.06
211,7.03,27,VOLLEY,18.11
237,7.9,27,BACKHAND,82.62
270,9.0,3,VOLLEY,38.64
289,9.63,5,BACKHAND,82.1
290,9.67,27,VOLLEY,119.85
291,9.7,31,VOLLEY,107.91
339,11.3,27,VOLLEY,30.02
359,11.97,5,VOLLEY,29.07
360,12.0,3,FOREHAND,86.53
364,12.13,27,BACKHAND,56.82
371,12.37,31,BACKHAND,91.39
416,13.87,2,VOLLEY,43.86
437,14.57,27,VOLLEY,33.6
499,16.63,27,SMASH,77.8
500,16.67,31,VOLLEY,118.27
518,17.27,3,BACKHAND,88.87
529,17.63,5,HIT,39.2
530,17.67,31,FOREHAND,110.82
575,19.17,3,FOREHAND,64.54
584,19.47,31,BACKHAND,21.21
588,19.6,27,FOREHAND,65.76
636,21.2,27,BACKHAND,59.06
668,22.27,27,BACKHAND,27.51
669,22.3,31,BACKHAND,82.01
708,23.6,27,VOLLEY,100.28
